Output data:
OUT[0][24][8] = 69518336.000000
OUT[0][24][9] = 69528624.000000
OUT[0][24][10] = 69538912.000000
OUT[0][24][11] = 69549216.000000
OUT[0][24][12] = 69559512.000000
OUT[0][24][13] = 69569808.000000
OUT[0][24][14] = 69580096.000000
OUT[0][24][15] = 46146000.000000
OUT[1][0][0] = 46648084.000000
OUT[1][0][1] = 69610992.000000
OUT[1][0][2] = 69621288.000000
OUT[1][0][3] = 69631584.000000
OUT[1][0][4] = 69641888.000000
OUT[1][0][5] = 69652176.000000
OUT[1][0][6] = 69662464.000000
OUT[1][0][7] = 69672744.000000
OUT[1][0][8] = 69683072.000000
OUT[1][0][9] = 69693360.000000
OUT[1][0][10] = 69703648.000000
OUT[1][0][11] = 69713952.000000
OUT[1][0][12] = 69724248.000000
OUT[1][0][13] = 69734544.000000
OUT[1][0][14] = 69744832.000000
OUT[1][0][15] = 69755112.000000
OUT[1][1][0] = 69765440.000000
OUT[1][1][1] = 69775728.000000
OUT[1][1][2] = 69786024.000000
OUT[1][1][3] = 69796320.000000
OUT[1][1][4] = 69806624.000000
OUT[1][1][5] = 69816912.000000
OUT[1][1][6] = 69827200.000000
OUT[1][1][7] = 69837480.000000
OUT[1][1][8] = 46316404.000000
OUT[1][1][9] = 46820880.000000
OUT[1][1][10] = 69868384.000000
OUT[1][1][11] = 69878688.000000
OUT[1][1][12] = 69888984.000000
OUT[1][1][13] = 69899280.000000
OUT[1][1][14] = 69909568.000000
OUT[1][1][15] = 69919848.000000
OUT[1][2][0] = 69930176.000000
OUT[1][2][1] = 69940472.000000
OUT[1][2][2] = 69950760.000000
OUT[1][2][3] = 69961056.000000
OUT[1][2][4] = 69971352.000000
OUT[1][2][5] = 69981656.000000
OUT[1][2][6] = 69991936.000000
OUT[1][2][7] = 70002216.000000
OUT[1][2][8] = 70012544.000000
OUT[1][2][9] = 70022832.000000
OUT[1][2][10] = 70033120.000000
OUT[1][2][11] = 70043424.000000
OUT[1][2][12] = 70053720.000000
OUT[1][2][13] = 70064016.000000
OUT[1][2][14] = 70074312.000000
OUT[1][2][15] = 70084584.000000
OUT[1][3][0] = 70094912.000000
OUT[1][3][1] = 46486808.000000
OUT[1][3][2] = 46993676.000000
OUT[1][3][3] = 70125792.000000
OUT[1][3][4] = 70136088.000000
OUT[1][3][5] = 70146392.000000
OUT[1][3][6] = 70156672.000000
OUT[1][3][7] = 70166952.000000
OUT[1][3][8] = 70177280.000000
OUT[1][3][9] = 70187568.000000
OUT[1][3][10] = 70197856.000000
OUT[1][3][11] = 70208160.000000
OUT[1][3][12] = 70218456.000000
OUT[1][3][13] = 70228752.000000
OUT[1][3][14] = 70239048.000000
OUT[1][3][15] = 70249320.000000
OUT[1][4][0] = 70259648.000000
OUT[1][4][1] = 70269944.000000
OUT[1][4][2] = 70280232.000000
OUT[1][4][3] = 70290528.000000
OUT[1][4][4] = 70300824.000000
OUT[1][4][5] = 70311128.000000
OUT[1][4][6] = 70321408.000000
OUT[1][4][7] = 70331688.000000
OUT[1][4][8] = 70342016.000000
OUT[1][4][9] = 70352304.000000
OUT[1][4][10] = 46657196.000000
OUT[1][4][11] = 47166476.000000
OUT[1][4][12] = 70383192.000000
OUT[1][4][13] = 70393488.000000
OUT[1][4][14] = 70403784.000000
OUT[1][4][15] = 70414056.000000
OUT[1][5][0] = 70424384.000000
OUT[1][5][1] = 70434680.000000
OUT[1][5][2] = 70444968.000000
OUT[1][5][3] = 70455264.000000
OUT[1][5][4] = 70465560.000000
OUT[1][5][5] = 70475864.000000
OUT[1][5][6] = 70486144.000000
OUT[1][5][7] = 70496424.000000
OUT[1][5][8] = 70506752.000000
OUT[1][5][9] = 70517040.000000
OUT[1][5][10] = 70527328.000000
OUT[1][5][11] = 70537632.000000
OUT[1][5][12] = 70547928.000000
OUT[1][5][13] = 70558224.000000
OUT[1][5][14] = 70568520.000000
OUT[1][5][15] = 70578792.000000
OUT[1][6][0] = 70589120.000000
OUT[1][6][1] = 70599416.000000
OUT[1][6][2] = 70609704.000000
OUT[1][6][3] = 46827600.000000
OUT[1][6][4] = 47339284.000000
OUT[1][6][5] = 70640600.000000
OUT[1][6][6] = 70650880.000000
OUT[1][6][7] = 70661160.000000
OUT[1][6][8] = 70671488.000000
OUT[1][6][9] = 70681776.000000
OUT[1][6][10] = 70692064.000000
OUT[1][6][11] = 70702368.000000
OUT[1][6][12] = 70712664.000000
OUT[1][6][13] = 70722960.000000
OUT[1][6][14] = 70733256.000000
OUT[1][6][15] = 70743528.000000
OUT[1][7][0] = 70753856.000000
OUT[1][7][1] = 70764152.000000
OUT[1][7][2] = 70774440.000000
OUT[1][7][3] = 70784736.000000
OUT[1][7][4] = 70795032.000000
OUT[1][7][5] = 70805336.000000
OUT[1][7][6] = 70815616.000000
OUT[1][7][7] = 70825896.000000
OUT[1][7][8] = 70836224.000000
OUT[1][7][9] = 70846512.000000
OUT[1][7][10] = 70856800.000000
OUT[1][7][11] = 70867104.000000
OUT[1][7][12] = 46998004.000000
OUT[1][7][13] = 47512080.000000
OUT[1][7][14] = 70897992.000000
OUT[1][7][15] = 70908264.000000
OUT[1][8][0] = 70918592.000000
OUT[1][8][1] = 70928888.000000
OUT[1][8][2] = 70939176.000000
OUT[1][8][3] = 70949472.000000
OUT[1][8][4] = 70959768.000000
OUT[1][8][5] = 70970072.000000
OUT[1][8][6] = 70980352.000000
OUT[1][8][7] = 70990632.000000
OUT[1][8][8] = 71000960.000000
OUT[1][8][9] = 71011248.000000
OUT[1][8][10] = 71021536.000000
OUT[1][8][11] = 71031840.000000
OUT[1][8][12] = 71042136.000000
OUT[1][8][13] = 71052432.000000
OUT[1][8][14] = 71062728.000000
OUT[1][8][15] = 71073000.000000
OUT[1][9][0] = 71083328.000000
OUT[1][9][1] = 71093624.000000
OUT[1][9][2] = 71103912.000000
OUT[1][9][3] = 71114208.000000
OUT[1][9][4] = 71124504.000000
OUT[1][9][5] = 47168408.000000
OUT[1][9][6] = 47684876.000000
OUT[1][9][7] = 71155368.000000
